Year,Team,W,L,ERA,Hits Allowed,SO,Champion
2019,Dodgers,106,56,3.39,1201,1519,0
2019,Astros,107,55,3.66,1205,1671,0
2019,Rays,96,66,3.67,1274,1621,0
2019,Indians,93,69,3.79,1308,1508,0
2019,Cardinals,91,71,3.82,1284,1399,0
2019,Athletics,97,65,3.97,1342,1299,0
2019,Cubs,84,78,4.1,1377,1444,0
2019,Reds,75,87,4.18,1270,1552,0
2019,Twins,101,61,4.18,1456,1463,0
2019,Braves,97,65,4.2,1421,1393,0
2019,Diamondbacks,85,77,4.25,1400,1427,0
2019,Mets,86,76,4.25,1405,1520,0
2019,Nationals,93,69,4.28,1340,1511,1
2019,Yankees,103,59,4.31,1374,1534,0
2019,Giants,77,85,4.38,1395,1368,0
2019,Brewers,89,73,4.4,1364,1497,0
2019,Phillies,81,81,4.53,1452,1392,0
2019,Padres,70,92,4.63,1394,1475,0
2019,Red Sox,84,78,4.7,1423,1633,0
2019,Marlins,57,105,4.74,1340,1378,0
2019,Blue Jays,67,95,4.79,1450,1332,0
2019,White Sox,72,89,4.91,1438,1312,0
2019,Mariners,68,94,5,1484,1239,0
2019,Rangers,78,84,5.09,1515,1379,0
2019,Angels,72,90,5.12,1417,1404,0
2019,Pirates,69,93,5.19,1511,1443,0
2019,Royals,59,103,5.2,1525,1230,0
2019,Tigers,47,114,5.26,1555,1368,0
2019,Rockies,71,91,5.58,1576,1264,0
2019,Orioles,54,108,5.67,1544,1248,0
2018,Astros,103,59,3.11,1164,1687,0
2018,Dodgers,92,71,3.4,1279,1565,0
2018,Cubs,95,68,3.65,1319,1333,0
2018,Diamondbacks,82,80,3.73,1313,1448,0
2018,Brewers,96,67,3.73,1259,1428,0
2018,Rays,90,72,3.75,1236,1421,0
2018,Braves,90,72,3.75,1236,1423,0
2018,Red Sox,108,54,3.75,1305,1558,1
2018,Indians,91,71,3.77,1349,1544,0
2018,Yankees,100,62,3.78,1311,1634,0
2018,Athletics,97,65,3.82,1303,1237,0
2018,Cardinals,88,74,3.85,1354,1337,0
2018,Giants,73,89,3.95,1387,1269,0
2018,Pirates,82,79,4,1380,1336,0
2018,Nationals,82,80,4.04,1320,1417,0
2018,Mets,77,85,4.07,1364,1446,0
2018,Mariners,89,73,4.13,1396,1328,0
2018,Phillies,80,82,4.15,1366,1465,0
2018,Angels,80,82,4.15,1353,1386,0
2018,Rockies,91,72,4.33,1377,1409,0
2018,Padres,66,96,4.41,1430,1399,0
2018,Twins,78,84,4.5,1425,1377,0
2018,Tigers,64,98,4.6,1423,1215,0
2018,Reds,67,95,4.65,1491,1258,0
2018,Marlins,63,98,4.76,1388,1249,0
2018,White Sox,62,100,4.85,1404,1259,0
2018,Blue Jays,73,89,4.85,1476,1298,0
2018,Rangers,67,95,4.92,1516,1121,0
2018,Royals,58,104,4.95,1542,1157,0
2018,Orioles,47,115,5.19,1552,1203,0
2017,Indians,102,60,3.3,1267,1614,0
2017,Dodgers,104,58,3.38,1226,1549,0
2017,Diamondbacks,93,69,3.67,1309,1482,0
2017,Red Sox,93,69,3.73,1384,1580,0
2017,Yankees,91,71,3.75,1248,1560,0
2017,Nationals,97,65,3.88,1300,1457,0
2017,Cubs,92,70,3.95,1294,1439,0
2017,Rays,80,82,3.99,1324,1352,0
2017,Brewers,86,76,4,1381,1346,0
2017,Cardinals,83,79,4.01,1393,1351,0
2017,Astros,101,61,4.12,1314,1593,1
2017,Angels,80,82,4.2,1373,1312,0
2017,Pirates,75,87,4.23,1464,1262,0
2017,Blue Jays,76,86,4.42,1460,1372,0
2017,Mariners,78,84,4.46,1399,1244,0
2017,Giants,64,98,4.5,1515,1234,0
2017,Rockies,87,75,4.51,1453,1270,0
2017,Phillies,66,96,4.57,1471,1309,0
2017,Twins,85,77,4.6,1487,1166,0
2017,Royals,80,82,4.63,1480,1216,0
2017,Athletics,75,87,4.67,1444,1202,0
2017,Padres,71,91,4.7,1417,1325,0
2017,Rangers,78,84,4.7,1443,1107,0
2017,Braves,72,90,4.72,1463,1258,0
2017,White Sox,67,95,4.78,1384,1193,0
2017,Marlins,77,85,4.82,1450,1202,0
2017,Orioles,75,87,4.97,1505,1233,0
2017,Mets,70,92,5.01,1538,1374,0
2017,Reds,68,94,5.17,1442,1300,0
2017,Tigers,64,98,5.36,1587,1202,0
2016,Cubs,103,58,3.15,1125,1441,1
2016,Nationals,95,67,3.52,1272,1476,0
2016,Mets,87,75,3.58,1398,1396,0
2016,Giants,87,75,3.69,1333,1309,0
2016,Dodgers,91,71,3.7,1266,1510,0
2016,Blue Jays,89,73,3.79,1340,1314,0
2016,Indians,94,67,3.86,1330,1398,0
2016,Mariners,86,76,4,1410,1318,0
2016,Red Sox,93,69,4,1341,1362,0
2016,Marlins,79,82,4.05,1358,1379,0
2016,Astros,84,78,4.06,1441,1396,0
2016,Cardinals,86,76,4.08,1432,1290,0
2016,Brewers,73,89,4.1,1450,1175,0
2016,White Sox,78,84,4.12,1422,1270,0
2016,Yankees,84,78,4.16,1358,1393,0
2016,Rays,68,94,4.2,1395,1357,0
2016,Royals,81,81,4.21,1433,1287,0
2016,Orioles,89,73,4.22,1408,1248,0
2016,Pirates,78,83,4.22,1491,1232,0
2016,Tigers,86,75,4.24,1417,1232,0
2016,Angels,74,88,4.28,1480,1136,0
2016,Rangers,95,67,4.38,1441,1154,0
2016,Padres,68,94,4.44,1425,1222,0
2016,Braves,68,93,4.51,1414,1227,0
2016,Athletics,69,93,4.51,1459,1188,0
2016,Phillies,71,91,4.64,1468,1299,0
2016,Reds,68,94,4.91,1457,1241,0
2016,Rockies,75,87,4.92,1532,1223,0
2016,Twins,59,103,5.09,1617,1191,0
2016,Diamondbacks,69,93,5.09,1563,1318,0
2015,Cardinals,100,62,2.94,1359,1329,0
2015,Pirates,98,64,3.23,1392,1338,0
2015,Cubs,97,65,3.36,1276,1431,0
2015,Mets,90,72,3.45,1341,1337,0
2015,Dodgers,92,70,3.46,1317,1396,0
